date,time,Location,Lat,Long,operator,flight_no,route,ac_type,registration,cn_ln,all_aboard,passengers_aboard,crew_aboard,all_fatalities,passenger_fatalities,crew_fatalities,ground,summary
"February 20, 1991",1524,Puerto Williams,-54.9341,-67.6109,LAN,?,Punta Arenas - Puerto Williams,British Aerospace BAE-146-200A,CC-CET,E-2061,72,65,7,20,20,0,0,The plane overran the runway on approach and sank in Beagle Channel in the sea.
"March 26, 1951",?,"Río Grande, Tierra del Fuego",-53.7833,-67.7,Aerolineas Argentinas,?,Ushuaia - Río Grande - Buenos Aires,Douglas DC-3,LV-ACY,12291,24,20,4,11,8,3,2,"On final approach to Río Grande Airport, the aircraft stalled and crashed in a fieldlshort of runway."
"September 27, 1920",?,Milford Sound,-44.6167,167.8667,Air Fiordland,?,?,Cessna 207 / Cessna 207,ZK-DAX / ZK-DQF,131/53,5,4,1,5,4,1,0,"Midair collision. Five killed on ZA-DAX, ZK-DQF landed safely."
"November 27, 1996",1133,Christchurch,-43.5309,172.6365,Straits Air Freight Express,?,Paraparaumu - Timaru,Bristol 170 Freighter 31,ZK-AYH,12828,4,2,2,4,2,2,0,The cargo plane lost a wing in flight and crashed into farmlands. In-flight structural fatigue failure of the starboard front lower spar boom.
"June 11, 2006",1915,Christchurch,-43.5309,172.6365,Charter - Air Adventures New Zealand Ltd,-,Palmerston North - Christchurch,Piper PA-31-350 Navajo Chieftain,ZK-NCA,31-7405203,10,9,1,8,7,1,0,"The aircraft crashed short of the runway in fog while on approach to Christchurch Airport. The plane crashed two kilometers from the airport, hitting a farm hedge and sliding across a paddock before smashing into a row of trees."
"October 25, 1999",1155,Fox Glacier,-43.502,170.081,Alpine Adventures,?,Sightseeing,Aerospatiale AS 350B2 Ecureuil,ZK-HKU,1132,7,6,1,7,6,1,0,"The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet."
"January 03, 1987",?,Franz Josef Glacier,-43.4669,170.1917,Hibiscus Air,?,Glentanner - Queenstown,GAF Nomad N-22,ZK-NOM,4,9,6,3,9,6,3,0,"The plane was on a senic flight of the Mt. Cook area and impacted Franz Josef Glacier at 4,500 ft. The aircraft became trapped in a narrow valley and as the pilot attempted to turn around within the valley the aircraft stalled while it was in a steep bank."
"June 26, 1994",20:55,Hobart,-42.8833,147.3167,Australian National Airways,?,Hobart - Melbourne,Douglas DC-3 (C-47DL),VH-AET,6013,25,21,4,25,21,4,0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.
"August 06, 2000",1555,Puerto Montt,-41.4718,-72.9396,Military - Fuerza Aérea de Chile,-,Santiago - Coihaique,Casa 212-AB10 Aviocar,230,AB10-454,14,10,4,14,10,4,0,The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.
"April 16, 2019",1100,Puerto Montt,-41.4718,-72.9396,Archipelagos Service Aereos,?,Puerto Montt - Ayacara,Pilatus-Britten Norman BN-2B-27 Islander,CC-CYR,2169,6,5,1,6,5,1,0,"While the aircraft was in the initial climb, plane lost height and crashed in flames into a house located in a residential area about 400 meters from the airfield."
"January 30, 2000",1004,Bariloche,-41.15,-71.3,Austral Lineas Aeras (Argentina),?,Buenos  Aires - San Carlos de Bariloche,BAC One-Eleven 420EL,LV-JGY,155,79,74,5,46,41,5,0,The flight crashed into high ground after a second landing attempt. Procedural error by the crew during the final approach in that they abandoned the ILS procedure. This was influenced by the interruption of the VOR signal.
"October 14, 2017",939,Delaware Bay,-41.15,173.4667,Trans Continental and Western Air,?,Training,Lockheed L-049 Constellation,NC86508,2029,4,0,4,4,0,4,0,"Went into a turn and lost control, spiraled into the ground. Loss of control of the aircraft for reasons undetermined."
"January 01, 2007",923,Paraparaumu,-40.9144,175.0056,New Zealand National Airways,?,Churchchrist - Paraparaumu,Douglas DC-3,ZK-AQT,15948/32696,28,26,2,3,3,0,0,Crashed onto a roadway from a height of 500 ft. and into a clump of trees.The crew used the wrong fuel selection configueration and the engines failed due to fuel starvation.
"October 03, 2003",2125,Waikanae,-40.876,175.064,Air Freight New Zealand,642,Christchurch - Palmerston North,Convair CV-580F,ZK-KFU,17,2,0,2,2,0,2,0,"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons."
"December 06, 1971",?,T?kaka,-40.85,172.8,Sudan Airways,?,Khartoum - Malakal,Fokker F-27 Friendship 200,ST-AAY,10238,42,37,5,10,9,1,0,The aircraft experienced a forced landing after being hijacked and running out of fuel.
"January 10, 1968",?,Neuquén,-38.9518,-68.0592,Yacimientos Petroliferos Fiscales,?,?,Hawker Siddeley HS-748 2,LV-HHB,1540,34,31,3,34,31,3,0,Structural failure and in-flight separation of the right wing. Fatigue cracks attributed to stress due to design. These cracks became critical sooner than anticipated. The cracks remained undetected and became critical because the manufacturer's inspection program for the area was insufficiently.
"October 05, 1945",540,Lake Victoria,-38.2667,144.6,Aerolift,?,"Entebbe, Uganda - Mogadishu, Somalia",Ilyushin Il-76T,S9-SAB,73410301,11,7,4,11,7,4,0,"The cargo plane carrying and water purification equipment crashed into Lake Victoria shortly after taking off. Possibly caused by one or a combination of factors, including loss of engine power, malfunction of the flight control system, pilot impairment, inattentiveness to altitude and inadequate handling of the aircraft. An investigation  found that the navigator used a forged license and that the aircraft and engines were beyond their service life."
"May 15, 1959",2140,Mar del Plata,-38,-57.55,Austral Lineas Aeras (Argentina),205,Buenos Aires - Mar del Plata,Curtiss C-46A-50-CU,LV-GED,30514,52,47,5,51,46,5,0,"The aircraft overshot runway and a missed approach procedure was initiated. The plane gradually descended into the ocean just offshore. The pilot was not familiar with the airport and he miscalculated during the instrument approach procedure. The pilot's temporarily confused mental state when he found himself in this critical situation, effectuating his capability and skill."
"March 16, 1969",2042,Mar del Plata,-38,-57.55,Aerolineas Argentinas,?,Mar del Plata - Bahia Blanca,Douglas DC-3,LV-AFW,19790,10,6,4,10,6,4,0,Crashed into the sea during a steep turn following a takeoff at night. Undetermined cause.
"April 06, 1921",?,"Point Cook, Victoria",-37.909,144.752,Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
